State,Year,Quarter,District,RegisteredUser
andhra-pradesh,2020,3,west godavari district,1053674
andhra-pradesh,2020,3,chittoor district,1506503
andhra-pradesh,2020,4,east godavari district,1746280
andhra-pradesh,2020,4,srikakulam district,726761
andhra-pradesh,2020,4,visakhapatnam district,2209658
andhra-pradesh,2020,4,prakasam district,999462
andhra-pradesh,2020,4,anantapur district,1295872
andhra-pradesh,2020,4,kurnool district,1230466
andhra-pradesh,2020,4,guntur district,1712940
andhra-pradesh,2020,4,krishna district,1744028
andhra-pradesh,2020,4,spsr nellore district,1022944
andhra-pradesh,2020,4,vizianagaram district,634462
andhra-pradesh,2020,4,ysr district,959182
andhra-pradesh,2020,4,west godavari district,1163179
andhra-pradesh,2020,4,chittoor district,1631331
andhra-pradesh,2021,1,east godavari district,1878769
andhra-pradesh,2021,1,srikakulam district,782604
andhra-pradesh,2021,1,visakhapatnam district,2368081
andhra-pradesh,2021,1,prakasam district,1075936
andhra-pradesh,2021,1,anantapur district,1394849
andhra-pradesh,2021,1,kurnool district,1323411
andhra-pradesh,2021,1,guntur district,1843237
andhra-pradesh,2021,1,krishna district,1876458
andhra-pradesh,2021,1,spsr nellore district,1100541
andhra-pradesh,2021,1,vizianagaram district,681621
andhra-pradesh,2021,1,ysr district,1032689
andhra-pradesh,2021,1,west godavari district,1254117
andhra-pradesh,2021,1,chittoor district,1751420
andhra-pradesh,2021,2,east godavari district,2006272
andhra-pradesh,2021,2,srikakulam district,837958
andhra-pradesh,2021,2,visakhapatnam district,2526830
andhra-pradesh,2021,2,prakasam district,1151232
andhra-pradesh,2021,2,anantapur district,1492738
andhra-pradesh,2021,2,kurnool district,1415585
andhra-pradesh,2021,2,guntur district,1968681
andhra-pradesh,2021,2,krishna district,2002662
andhra-pradesh,2021,2,spsr nellore district,1176334
andhra-pradesh,2021,2,vizianagaram district,729509
andhra-pradesh,2021,2,ysr district,1103004
andhra-pradesh,2021,2,west godavari district,1339377
andhra-pradesh,2021,2,chittoor district,1870723
andhra-pradesh,2021,3,east godavari district,2150622
andhra-pradesh,2021,3,srikakulam district,902008
andhra-pradesh,2021,3,visakhapatnam district,2707931
andhra-pradesh,2021,3,prakasam district,1239147
andhra-pradesh,2021,3,anantapur district,1606735
